CodigoInterno,NombreInvima,DescripcionComercial,CodigoInvima,Cum
C130819,INFANRIX HEXA (DPTA-HEPB-IPV-HIB),VIAL DE VIDRIO TIPO CON CAPACIDAD DE 3 ML CON TAPÓN DE BROMOBUTILO Y CONTENIENDO UNA DOSIS DE LIOFILIZADO (HIB) + JERINGA PRELLENADA DE 1.25 ML DE CAPACIDAD DE VIDRIO INCOLORO TIPO I CON UN TAPÓN ELASTOMÉRICO. CONTENIENDO 1 DOSIS DE DILUENTE (DTPA+HVB+IPV) + 2 AGUJAS HIPODÉRMICAS,INVIMA 2017MBT-14204-R2,19905376-4
C275341,CLAVULIN ES 600 POLVO PARA SUSPENSION.,CAJA CON UN FRASCO DE VIDRIO TRANSLÚCIDO TIPO III POR 100 ML CON TAPA DE ALUMINIO Y LINER DE POLIOLEFINA. CON CUCHARA DOSIFICADORA DE POLIESTIRENO COLOR TRANSLÚCIDO Y SELLO DE SEGURIDAD.,INVIMA 2021M-0002672-R2,19936071-12
C695222,DECADRON 8 MG/2 ML INYECTABLE,CAJA POR 1 AMPOLLA DE VIDRIO INCOLORO TRANSPARENTE TIPO I. POR 2 ML,INVIMA 2021M-002916-R5,36070-10
C9891246,PARKEN® 25/100MGTABLETAS,CAJA X 100 TABLETAS EN BLISTER DE PVC/ALUMINIO X 10 TABLETAS,INVIMA 2008 M-010732 R1,48898-9
C130673,PACLITAXEL INYECTABLE 100 MG / 16.67 ML,CAJA X 1 FRASCO VIAL EN VIDRIO ÁMBAR TIPO I + TAPON GRIS+ AGRAFE DE ALU X PACLITAXEL 100 MG/16.7 ML,INVIMA 2012M-0013886,20047567-1
C285172,VERUM® 24 MG TABLETAS,CAJA CON 20 TABLETAS EN BLISTER INDIVIDUALES ( PVC/LDPE/PVDC TRANSPARENTE/ALUMINIO) POR 10 TABLETAS,INVIMA 2021M-0011259-R2,20015468-1
C09468,PULMOZYMESOLUCION PARA INHALACION 1MG/ML,AMPOLLA DE POLIETILENO DE BAJA DENSIDAD PARA UN SOLO USO. CAJA X 6 AMPOLLAS EMPACADAS N BOLSA LAMINADA,INVIMA 2019M-006462-R2,200666-1
C140312,DIFAST FTABLETAS,USO INSTITUCIONAL: CAJA CARTON POR 10 TABLETAS EN BLISTER PVC/ALUMINIO POR 10.,INVIMA 2016M-014668-R2,19908637-14
C07210,GIOTRIF® 20 MG,CAJA DE CARTÓN CON BLÍSTER DE LÁMINA CAVITADA DE PVC/PVCD Y UNA LÁMINA DE ALUMINIO. BOLSA SECANTE ACONDICIONADA EN UN SOBRE POR 28 TABLETAS RECUBIERTAS. DE ALUMINIO CON TAMIZ MOLECULAR,INVIMA 2021M-0016753-R1,20066634-1
C695381,NORAVER P TABLETAS DE DISOLUCIÓN BUCAL,CAJA POR 12 TABLETAS SABOR NARANJA MIEL EN FOIL ALUMINIO/ALUMINIO BLANCO.,INVIMA 2023M-0002754-R2,19939513-45
C465266,FERASIRO ® 250 MG TABLETA DISPERSABLE,CAJA POR 28 TABLETAS DISPERSABLES EN BLISTER PVC/PE/PVDC - ALU. 4 BLISTER POR 7 TABLETAS CADA UNO,INVIMA 2018M-0018459,20145925-2
C05060,ALLEGRA® 120 MG TABLETAS RECUBIERTAS,CAJA PLEGADIZA POR 10 TABLETAS EN BLÍSTER PVDC/PE/PVC-ALUMINIO POR 10 TABLETAS.,INVIMA 2023 M-007439-R2,1984916-5
C030192,DISMIGRAS®,CAJA CON BLISTER ALU-ALU (BASE FOIL) COLD FORMING ALUMINIUM FOIL POR 30 TABLETAS RECUBIERTAS. CADA BLISTER CON 10 TABLETAS RECUBIERTAS.,INVIMA 2020M-0015820-R1,20075055-6
C021251,DEXTROSA AL 5% EN SODIO CLORURO AL 0.9%,BOLSA POR 500ML DE POLIETILENO ATOXICO DE BAJA DENSIDAD (PEBD) CON TAPA CABEZA EURO CON FOIL. BOLSA DE 500 ML EN POLIETILENO DE BAJA DENSIDAD (PEBD) ATÓXICO CON TAPA EURO CON ANILLO DE DESGARRE EN PEBD LA CUAL POSEE UN DISCO DE CAUCHO NATURALNATURAL.,INVIMA 2023M-0003946-R2,19950383-8
C00349,ARAVA® TABLETAS RECUBIERTAS 20 MG.,CAJA CON FRASCO PLÁSTICO DE HDPE X 30 TABLETAS. TAPA ROSCA CON ANILLO DE CIERRE INSERTADO Y RECIPIENTE CON DESECANTE INTEGRADO.,INVIMA 2019M-013233-R2,230658-1
C605331,TOUJEO®,1 LAPICERA / PLUMA X 450 UNIDADES/1.5 ML,INVIMA 2015MBT-0016708,20082633-1
C030318,SYMBICORT RAPIHALER® 80/4.5 MCG / INHALACIÓN,CAJASIN DATOCONSIN DATOUNSIN DATOENVASE DE ALUMNIOSIN DATOX 120 DOSIS DENTROSIN DATODE UNA BOLSA DE ALUMINIO PROTECTORA CONSIN DATODESECANTE,INVIMA 2016M-0011308-R1,20017162-1
C525931,FULPHILA®,CAJA POR 1 JERINGA PRELLENADA DE VIDRIO TIPO I CON AGUJA DE ACERO INOXIDABLE CON 0.6ML DE SOLUCIÓN INYECTABLE,INVIMA 2020MBT-0000025,20153351-1
C00540,PREGABALINA CAPSULAS 150 MG,CAJA POR 300 CAPSULAS EN BLISTERSIN DATOPVC TRANSPARENTE / ALUMINIO POR 10 CAPSULAS CADA UNO,INVIMA 2017M-0017640,20091819-6
C999169,TAKHZYRO®,CAJA POR 1 VIAL DE 2ML DE SOLUCIÓN (VIAL DE VIDRIO TIPO I) CON UN TAPÓN DE GOMA DE BUTILO RECUBIERTO Y UN SELLO DE ALUMINIO CON TAPA DESPRENDIBLE + JERINGA VACÍA DE 3ML + AGUJA DE ACCESO AL VIAL DE 18G + AGUJA PARA INYECCIÓN 27GX ½ PULGADA (0.4X13MM) + INSERTO,INVIMA 2020MBT-0000016,20154566-1
C425302,JANUMET XR 50/1000MG TABLETAS RECUBIERTAS DE LIBERACION PROLONGADA,FRASCO DE HDPE POR 28 TABLETAS RECUBIERTAS DE LIBERACIÓN PROLONGADA (EL FRASCO INCLUYE UN SOBRE CON SILICA GEL).,INVIMA 2014M-0015484,20068049-2
C2156142,COSAMIDE® 100 MG TABLETA RECUBIERTA,IUM 1L1012301008105: LACOSAMIDA 100.0000 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (COSAMIDE) TABLETA 1.0000U / CAJA X 30. CAJA POR 3 BLÍSTER ALUMINIO/PVC-PVDC POR 10 TABLETAS RECUBIERTAS C/U.,INVIMA 2022M-0017476-R1,20108801-6
C00330,AEROVIAL® CÁPSULA DURA PARA ADMINISTRAR POR INHALADOR,CAJA POR 30 CAPSULAS EN BLISTER ALUMINIO/PVC/PVDC + INHALADOR,INVIMA 2020M-0002309-R2,19932996-3
C375025,AMDIPIN H 5-12.5,CAJA PORSIN DATO10 TABLETAS EN BLISTER DE ALUMINIO/ALUMINIO (POLIAMIDA + FOIL DE ALUMINIO + FILM DE PVC) + PAPEL DE ALUMINIO.,INVIMA 2019M-13527-R2,19902457-3
C998012,CAXOFU70 MG POLVO LIOFILIZADO PARA INYECCIÓN.,CAJA POR UN VIAL DE VIDRIO TIPO I CON TAPON DE CAUCHO. AGRAFE Y FLIP-OFF,INVIMA 2019M-0018725,20138252-1
C420207,EUTIROX® 112 MCG.,CAJA POR 50 TABLETAS EN BLISTER ALU/ALU,INVIMA 2023M-0007831-R2,19987944-1
C07318,SERETIDE® DISKUS 50/500 MCG,CAJA DE CARTÓN CON INHALADOR PLÁSTICO DISKUS MULTIDOSIS POR 60 DOSIS. ENVASADO EN TIRAS DE FOIL LAMINADO POR 60 ALVÉOLOS Y USADO COMO EMPAQUE SECUNDARIO UNA ENVOLTURA DE FOIL LAMINADO.,INVIMA 2019M-13778-R2,19902533-3
C265435,CLARITROMICINA500 MG TABLETASRECUBIERTAS,CAJA PLEGADIZA POR 10 TABLETAS EN UN BLISTER PVC/PVDC/ALUMINIO,INVIMA 2020M-0007529-R1,19980816-1
C00407,ARIMIDEX® 1 MG,CAJA PLEGADIZA POR 28 TABLETAS RECUBIERTAS EN BLISTER DE PVC/ALUMINIO.,INVIMA 2023M-007174-R2,206742-3
C497014,APROVASC® 300MG/5MG,ESTUCHE X 28 COMPRIMIDOS RECUBIERTOS EN BLISTER PVC-PE-PVDC/AL,INVIMA 2019M-0013008-R1,20043398-2
C097013,TEMODAL®CAPSULAS 20 MG,CAJA POR 5 SACHETS EN LAMINADO PET / FOIL PEBD CON 1 CÁPSULA CADA UNO,INVIMA 2017M-014897-R2,19907390-3
C130919,VYVALTO,2E1018791001100 CAJA CON 3 BLÍSTER ALUMINIO/ALUMINIO CON 10 TABLETAS RECUBIERTAS CADA UNO,INVIMA 2019M-0019111,20148969-1
C005367,SYNTHROID ®200 MCG,CAJA CON FRASCO DE POLIETILENO DE ALTA DENSIDAD PORSIN DATO90 TABLETAS,INVIMA 2023M-0012786-R2,20031838-9
C285032,B-CORT® 200 AEROSOL,CAJA POR UN FRASCO DE ALUMINIO POR 6 ML DE AEROSOL QUE EQUIVALEN A 120 DOSIS CON VÁLVULA DOSIFICADORA Y ADAPTADOR BUCAL.,INVIMA 2023M-14251-R3,19906224-3
C052918,DUPIXENT® 200MG,CAJA POR 2 JERINGAS PRELLENADAS CON SISTEMA DE SEGURIDAD. CADA JERINGA PRELLENADA CON 1.14 ML CONTIENE 200 MG DE DUPILUMAB (EQUIVALENTE A 175 MG/ML),INVIMA 2019MBT-0019104,20156864-2
C670410,NULYTELY POLVO PARA RECONSTITUIR,CAJA DE CARTÓN POR 4 SOBRES DE POLIETILENO CON 110.1 G DEL PRODUCTO SABOR CEREZA.,INVIMA 2020M-015336-R3,50476-12
C515672,LINEZOLID TABLETAS 600 MG,CAJA POR 10 TABLETAS EN FOIL ALU-ALU,INVIMA 2019M-0013724-R1,20045677-2
C013842,NEURONOX®200 U,CAJA X 1 VIAL DE VIDRIO TIPO I DE CAPACIDAD DE 5 ML. CON TAPÓN DE CLOROBUTILO Y TAPA FLIP-OFF EN ALU-PP,INVIMA 2019M-0019123,20117561-2
C300971,SULZINC®,CAJA PLEGADIZA POR 30 TABLETAS RECUBIERTAS. CONTENIENDO TRES BLISTERES DE PVC/PVDC/TRANSPARENTE - ALUMINIO BLANCO POR 10 TABLETAS CADA UNO (TAMBIEN APLICA PARA USO INSTITUCIONAL),INVIMA 2020M-0015825-R1,20070341-2
290390*I,HERREX FOL® JARABE,FRASCO DE VIDRIO POR 120 ML EN CAJA DE CARTON,INVIMA 2020M-009982-R4,27440-3
C630260,TRACTAL® 2,CAJA X 30 TABLETAS RECUBIERTAS EN BLÍSTER ALUMINIO/PVC TRANSPARENTE + INSERTO,INVIMA 2020M-0000893-R2,19926483-7
C130821,SHINGRIX VACUNA CONTRA EL HERPES ZÓSTER (HZ O CULEBRILLA),COMERCIAL: CAJA CON 1 FRASCO VIAL DE VIDRIO TIPO I CON UNA DOSIS DE LIOFILIZADO. CON TAPON DE CAUCHO BROMOBUTILO Y AGRAFE ALUMINIO TIPO FLIP-OFF. MÁS UN FRASCO VIAL DE VIDRIO TIPO I CON UNA DOSIS DE SOLVENTE. CON TAPÓN DE CAUCHO DE CLORO BUTILO Y AGRAFE DE ALUMINIO TIPO FLIP-OFF.,INVIMA 2024MBT-0000100,20236367-1
C00741,NIDIP® 30 MG,CAJA POR 100 TABLETAS RECUBIERTAS EN BLISTER DE ALUMINIO/ ALUMINIO POR 10 TABLETAS CADA UNO,INVIMA 2022M-013061-R4,40927-14
C7003102,BUPROFEN SUSPENSION,FRASCO PET AMBAR POR 120 ML,INVIMA 2023M-0006306-R2,19958484-1
C0858212,RYBELSUS® 7 MG TABLETAS,CAJA POR 30 TABLETAS EN BLÍSTER ALU/ALU,INVIMA 2021MBT-0000043,20204361-1
C520081,CORBIS® 5,IUM 1B1020101003100: CAJA PLEGADIZA POR 30 TABLETAS EN BLISTER PVC INCOLORO /ALUMINIO POR 10 TABLETAS CADA UNO.,INVIMA 2022M-0017397-R1,20102484-1
C292731,MESILAX500 MG SUPOSITORIOS,CAJA POR 10 SUPOSITORIOS EMPACADOS EN ALVEOLOS PVC- POLIETILENO BLANCO,INVIMA 2021M-0013766-R1,20048039-1
C042501,IBUPROFENO TABLETAS RECUBIERTAS X 400 MG,CAJA POR 100 TABLETAS EN BLISTER PVC TRANSPARENTE / ALUMINIO POR 10 TABLETAS C/U,INVIMA 2020M-014958-R3,51330-6
C379242,FINASTERIDE 1MG,CAJA POR 30 TABLETAS EN BLISTER DE PVC-PVDC/ALUMINIO.,INVIMA 2023M-0007561-R1,19974819-5
C304322,XIGDUO®XR 5MG/1000MG,CAJA POR 56 TABLETAS EN BLISTER DE ALUMINIO/ALUMINIO,INVIMA 2015M-0016543,20082695-1
C620135,DIANE® - 35,CAJA X 21 GRAGEAS EN BLISTER.,INVIMA 2023M-0003385-R2,19942623-2
C07299,SANDIMMUN NEORAL MICROEMULSION,CAJA FRASCO DE VIDRIO ÁMBAR HIDROLÍTICO TIPO III 50 ML CON TAPÓN DE GOMA BROMOBUTILO Y TAPÓN DE ALUMINIO TIPO TEAR-OFF DESPRENDIBLE. CON TAPA ROSCA.,INVIMA 2022M-007777-R3,22899-2
C02409,STALEVO ® 150MG/37.5MG/200MG TABLETAS RECUBIERTAS CON PELICULA,FRASCO DE POLIETILENO DE ALTA DENSIDAD BLANCO.CON TAPA DE POLIPROPILENO POR 30 TABLETAS CUBIERTAS CON PELÍCULA.,INVIMA 2016M-0004225-R1,19951171-2
C275565,NIMBIUM ®INYECTABLE 10 MG,CAJA POR 5 AMPOLLAS DE VIDRIO TIPO I POR 5 ML,INVIMA 2020M-006248-R2,208099-1
C585438,RYTUZEQ,CAJA POR 1 VIAL DE 500 MG/50ML,INVIMA 2022MBT-0000056,20186253-2
C230670,PACLITAXEL 100 MG SOLUCIONINYECTABLE,CAJA POR UN VIAL DE VIDRIO TIPO I CON 16.7 ML. CON TAPÓN DE CAUCHO. AGRAFE DE ALUMINIO Y TAPA TIPO FLIP OFF.,INVIMA 2020M-0007010-R1,19976519-3
C03739,ESOMED® 10 MG SOBRES.,CAJA CON 28 SOBRES LAMINADOS PES-ALU-PE CADA UNO CON 2.6 G DE MICROGRANULOS GASTRORESISTENTES PARA SUSPENSION ORAL,INVIMA 2015M-0016459,20089319-1
C901183,DEFEROL® 2000 UI,CAJA POR 30 CÁPSULAS BLANDAS DE GELATINA. EN BLÍSTER PVC-PVDC INCOLORO / ALUMINIO POR 10 CÁPSULAS BLANDAS DE GELATINA.,INVIMA 2022M-0017442-R1,20106115-1
C02316,EZETIMIBE10 + SIMVASTATINA 40 TABLETA CUBIERTA,BLISTER DE ALUMINIO / ALUMINIO POR 7 TABLETAS EN CAJA POR 14 TABLETAS.,INVIMA 2021M-0008464-R1,19989090-2
C04291,JARDIANCE 10 MG,CAJA CON BLISTERSIN DATODE PVC/ALUMINIOSIN DATOPOR 30 TABLETAS RECUBIERTAS,INVIMA 2020M-0016002-R1,20073367-3
C606400,PAROXETINA 20 MG TABLETAS RECUBIERTAS,CAJA PLEGADIZA PORSIN DATO20 TABLETAS RECUBIERTAS. EN BLISTER DE ALUMINIO/PVC-PVDC BLANCO POR 10 TABLETAS RECUBIERTAS CADA UNO.,INVIMA 2021M-0004808-R2,19951949-2
515081,PREVENAR®VACUNACONJUGADA NEUMOCOCICA. 13 VALENTE (DIFTERIA CRM 197 PROTEINA),CAJA PLEGABLE DE CARTON POR 1 JERINGA PRELLENADA POR 0.5 ML EN VIDRIO TIPO I CON SIN O AGUJA,INVIMA 2010MB-0010461,20011362-1
C660013,STAFEN® 135 / 20 MG CAPSULA,CAJA POR 30 CAPSULAS EN BLISTER ALUMINIO/ALU-ALU POR 10 CAPSULAS C/U.,INVIMA 2022M-0014122-R2,20025390-12
C265440,CARPIX® TABLETA RECUBIERTA,CAJA CON UN FRASCO DE PEAD BLANCO X 30 TABLETAS RECUBIERTAS CADA UNO. CONTIENE DESECANTE SÍLICA GEL. TAPA DE PP BLANCA CON LINNER DE ALUMINO-POLIESTER COLOR PLATA.,INVIMA 2021M-0016736-R1,20091048-2
C253424,ABALAM® 600 MG/300MG TABLETAS CUBIERTAS,CAJA PLEGADIZA CON FRASCO DE PEAD BLANCO OPACO CON TAPA DE PP BLANCA OPACA CON DESECANTE DE SILICAGEL POR 30 TABLETAS CUBIERTAS CON PELCULA .,INVIMA 2016M-0017175,20103720-2
C096003,NEUPRO® 4 MG /24 H,CAJA POR 14 PARCHES TRANSDÉRMICO DE 4 MG/24H EN BOLSA DESPRENDIBLE(PAPEL/LDPE/ALU/ COPOLÍMERO DE ETILENO/ PE/ALU/COPOLÍMERO DE ETILENO/PAPEL) CADA UNO.,INVIMA 2016M-0011938-R1,20019920-2
C02169,DULCOLAX® P GOTAS,CAJASIN DATOCON FRASCO DE POLIETILENO DE ALTA DENSIDAD BLANCO.SIN DATOX 15 ML TAPA DE POLIPROPILENO BLANCO YSIN DATOGOTERO LDPE SIN COLOR,INVIMA 2013M-0002609-R1,19937973-1
C421520,REBLOZYL®,CAJA CON UN VIAL QUE CONTIENE 75 MG DE LUSPATERCEPT,INVIMA 2024MBT-0000094,20204201-3
C606443,ESCITALOPRAM 10 MG TABLETAS RECUBIERTAS,CAJA POR 28 TABLETAS RECUBIERTASSIN DATOEN BLISTER PVC-PVDC TRANSPARENTE/ALUMINIO POR 28 TABLETAS,INVIMA 2020M-0010904-R1,20014721-1
C9990537,CARDIK ® 3 160/5/12.5,CAJA PLEGADIZA POR 28 TABLETAS RECUBIERTAS EN BLISTER PVC/PVDC- ALUMINIO MAS BOLSA SACHET,INVIMA 2023M-0013598-R2,20048021-4
C671442,PRO LERTUS® 140 MG,CAJA X 20 CÁPSULAS DE LIBERACIÓN PROLONGADA EN BLISTER ALU/PVC-PVDC INCOLORO,INVIMA 2015M-0002733 R1,19931425-13
C52551,VIGIA® 100 MG,CAJA POR 10 CÁPSULAS BLANDAS DESIN DATOGELATINASIN DATOEN BLISTER TIPO ALU/ALU X 10 CÁPSULAS BLÍSTER.,INVIMA 2022M-0006479-R2,19968570-1
C04102,HIDROCORTISONA CREMA 1%,CAJA DE CARTULINA CON TUBO COLAPSIBLE LAMINADO POR 15 G,INVIMA 2019M-0009300-R1,19995931-1
C010235,VIGAMOX® SOLUCION OFTALMICA ESTERIL,CAJA POR UN FRASCO REDONDO EN PEBD. COLOR NATURAL. CON TAPA Y BANDA DE SEGURIDAD CON 5ML DE PRODUCTO,INVIMA 2014M-0003113-R1,19941675-3
C990575,AZAKEM® 50 MG TABLETAS,1A1004281002101 - AZATIOPRINA 50 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (AZAKEM) TABLETA 1U / CAJA X 100CAJA PLEGADIZA CON 10 BLÍSTER EN PVC/PVDC BLANCO OPACO/FOIL POR 10 TABLETAS,INVIMA 2021M-0020407,20137850-4
C253458,TIQUEPIN® 100 MG,CAJA POR 3 BLÍSTER ALU- (PVC/ALU/OPA) POR 10 TABLETAS RECUBIERTAS,INVIMA 2015M-0016665,20093311-1
C992408,KI-CAB® TABLETAS 50 MG,CAJA PLEGADIZA CON BLISTER ALU/ALU POR 10 TABLETAS RECUBIERTAS.,INVIMA 2024M-0021568,20229151-1
C135401,CEFRADINA 500 MG CAPSULAS,CAJA X 24 CAPSULAS EN BLISTER PVC-PVDC/ALUMINIO,INVIMA 2015M-0004344-R1,19947909-1
C901255,NITROFURPOMADA,FRASCO DE POLIPROPILENO POR 500 G,INVIMA 2021M-0006953-R1,19968374-3
C226567,DIOSMINA500MG,CAJA PLEGADIZA POR 150 TABLETAS CUBIERTAS EN BLISTER PVC/ALUMINIO POR 10 TABLETAS CUBIERTASSIN DATOCADA UNO,INVIMA 2021M-0005800-R1,19962154-9
C455245,FLEXTRIL ® C MSM SOBRES,INSTITUCIONAL: CAJA POR 15 SOBRES O SACHETS FOIL DE ALUMINIOPOLIETILENO/ALUMINIOPOLIETILENO,INVIMA 2009M-0009141,19998174-28
C020150,OPTIVE ®,CAJA CON UN FRASCO GOTERO DE PEBD POR 15 ML.,INVIMA 2023M-0007266-R2,19978511-4
C130445,OPDUALAG® SOLUCION INYECTABLE,CAJA CON UN VIAL DE 20 ML DE SOLUCIÓN INYECTABLE PARAINFUSIÓN INTRAVENOSA,INVIMA 2025MBT-0000133,20239832-1
C010115,MAXITROL® SUSPENSION OFTALMICA ESTÉRIL,CAJA DE CARTON PVP MÁS UN FRASCO GOTERO DE PEBD Y TAPA DE POLIPROPILENO POR 5 ML.,INVIMA 2008M-001074-R3,30620-1
C9991096,CEFUROXIMA AXETIL TABLETAS 500 MG.,CAJA CON BLISTER DE ALUMINIO-ALUMINIO POR 10 TABLETAS.,INVIMA 2016M-0017220,20099285-1
C320001,INVEGA® TABLETAS DE LIBERACION PROLONGADA 3 MG,1P1043441000100PALIPERIDONA 3.0000 MG TABLETAS DE LIBERACION MODIFICADA ORAL (INVEGA) TABLETA 1.0000U / CAJA X 14 TABLETAS DE LIBERACIÓN PROLONGADA EN BLÍSTER DE POLIAMIDA ORIENTADA (OPA)-ALUMINIO-PVC/ALUMINIO A PRUEBA DE NIÑOS (CR).,INVIMA 2023M-0007572-R1,19983119-2
C07357,NOVOEIGHT®1000 UI POLVO Y SOLVENTE PARA SOLUCIÓN INYECTABLE,1T1041071000100 PRESENTACIÓN COMERCIAL: CAJA POR UN VIAL DE VIDRIO INCOLORO TIPO I DE 5ML CON POLVO Y TAPÓN VERDE DE GOMA DE CLOROBUTILO. UNA JERINGA PRE-LLENADA DE VIDRIO DE BOROSILICATO INCOLORO CON SOLVENTE DE RECONSTITUCIÓN. UN ADAPTADOR ESTÉRIL CON CUERPO DE POLICAR.SIN DATO,INVIMA 2023MBT-0016827-R1,20090707-1
C08448,PROCICAR® CREMA,TUBO COLAPSIBLE X 60 GTAPA CON LINNER DESIN DATODOS CAPAS:POLIETILENO/ AL ADHERIDO A LA TAPA DEL TUBO,INVIMA 2019M-009074-R3,20526-3
C9991288,QUETIAPINA 25 MG TABLETA RECUBIERTA (COMPRIMIDO),CAJA POR 30 TABLETAS EN BLISTER PVC-PVDC TRANSPARENTE/ALUMINIO X 10 TABLETAS CADA UNO.,INVIMA 2021M-0011105-R2,20016921-2
C102068,NOXPIRIN®PLUS CAPSULAS,FOIL TRILAMINADO DE POLIETILENO / ALUMINIO /POLIESTER EN CAJA POR 12 CAPSULAS,INVIMA 2015M-0004030-R1,19945861-1
C275424,DURAFLEX ADVANCE.,CAJA PLEGADIZA POR 6 CÁPSULAS BLANDAS EN BLÍSTER ALUMINIO-PVC/ACLAR TRANSPARENTE POR 6 CÁPSULAS CADA BLISTER,INVIMA 2019M-0018763,20104221-2
C410520,HERCEPTIN® POLVO LIOFILIZADO PARA INFUSIÓN 150MG,CAJA POR 1 VIAL DE 15 ML DE VIDRIO INCOLORO TIPO I. CON 150 MG DE POLVO CONCENTRADO PARA SOLUCIÓN PARA INFUSIÓN.,INVIMA 2015MBT-0015733,20067211-1
320055,INVEGA® TABLETAS DE LIBERACION PROLONGADA 6 MG,1P1043161000100 PALIPERIDONA 6.0000 MG TABLETAS DE LIBERACION MODIFICADA ORAL (INVEGA) TABLETA 1.0000U / CAJA X 14 TABLETAS DE LIBERACIÓN PROLONGADA EN BLÍSTER DE POLIAMIDA ORIENTADA (OPA)-ALUMINIO-PVC/ALUMINIO A PRUEBA DE NIÑOS (CR).,INVIMA 2023M-0007546-R1,19983120-2
C395072,ESOPRAX ® 40 CAPSULAS,GENÉRICO: CAJA POR 100 CAPSULAS EN BLÍSTER DE PVC/PVDC/ALUMINIO EN BOLSA SACHET.,INVIMA 2019M-0002765-R2,19940076-117
C03201,FENCAFEN®TABLETAS,USO INSTITUCIONAL: CAJA PLEGADIZA POR 500 TABLETAS EN BLISTER PVC/PVDC/PE BLANCO-ALUMINIOSIN DATOPOR 10 TABLETAS CADA UNO.,INVIMA 2022M-015043-R3,19912966-16
C068153,FEMDUO®,CAJA PLEGADIZA CON 2 BLISTER PVDC/ ALUMINIO POR 5 OVULOS.,INVIMA 2021M-0017077-R1,20104109-3
C04252,IBUPROFENO TABLETAS RECUBIERTAS 800MG,CAJA POR 50 TABLETAS EN BLISTER DE PVC INCOLORO / ALUMINIO,INVIMA 2020M-014955-R3,1980020-1
C003301,SERECOR® FORTE DPI 250,CAJA X 30 CÁPSULAS CON POLVO SECO PARA INHALACIÓN EN BLÍSTER PVC-TE-PVDC TRANSPARENTE INCOLORO / FOIL ALUMINIO. 3 BLÍSTER POR 10 CÁPSULAS CADA UNO . CON INHALADOR.,INVIMA 2016M-0017453,20103748-3
C350053,ANTROFI®,IUM 1P1040901000100: PROMESTRIENO 1000.0000 MG CREMA VAGINAL (ANTROFI) TUBO 30.0000G / CAJA POR 1 (CONTIENE 20 APLICADORES). CAJA CON TUBO COLAPSIBLE DE ALUMINIO POR 30G MÁS 20 APLICADORES DE POLIETILENO.,INVIMA 2022M-0017004-R1,20077745-1
C350010,GARDASIL® 9 VACUNA RECOMBINANTE NONAVALENTE CONTRA EL VIRUS DEL PAPILOMA HUMANO,CAJA X 1 JERINGA PRELLENADA CON 0.5 ML DE SUSPENSIÓN MÁS INSERTO QUE INCLUYE UNA AGUJA DE COLOR NARANJA Y UNA AGUJA DE COLOR SALMÓN,INVIMA 2017MBT-0017725,20093269-1
C630019,ALACIR® 60,CAJA X 30 TABLETAS DE LIBERACIÓN RETARDADA EN BLISTER DE ALUMINIO Y PVC/PE/PVDC,INVIMA 2022M-0012202-R2,20015009-21
C03757,GENOTROPIN 5.3 MG (16 U.I.) POLVO PARA INYECCION,CAJA POR 1 APLICADOR PRECARGADO GO-QUICK CON CARTUCHO VIDRIO TIPO I DE 2 COMPARTIMENTOS (I+II) (POLVO+SOLVENTE),INVIMA 2020MBT-011706 R2,228038-2
C275700,ZINNAT® TABLETAS 500 MG,CAJA POR BLISTER DE AL/OPA/PVC Y FOIL DE ALUMINIO POR 10 TABLETAS,INVIMA 2020M-0010199-R1,20006926-1
C215625,IPOPRIN 2 MG,1P1004441002100 IPOPRIN ® POMALIDOMIDA 2 MG CAPSULA DURA/ FRASCOBLANCO CON CIERRE DE SEGURIDAD EN HDPE POR 21 UNIDADES,INVIMA 2019M 19518,20158766-1
C013841,NEURONOX® 100 UI,CAJA POR 1 VIAL DE VIDRIO TIPO I. CON TAPÓN DE CLOROBUTILO. TAPA FLIP-OFF EN POLIPROPILENO/ALUMINIO. CONTENIENDO EL POLVO LIOFILIZADO.,INVIMA 2022MB-0014471-R1,20049559-1
585330,MABTHERA ® CONCENTRADO DE SOLUCIÓN PARA INFUSIÓN 500 MG / 50 ML,CAJA POR AMPOLLA DE VIDRIO TIPO I POR 50 ML DE SOLUCIÓN PARA INFUSIÓN.,INVIMA 2010MBT-0010348,20010363-1
620195,ELOCOM® CREMA DERMATOLÓGICA,CAJA CON 1 TUBO DE ALUMINIO CON RESINA EPOXIFENÓLICA Y TAPA DE POLIETILENO DE ALTA DENSIDAD POR 15 G.,INVIMA 2016M-0017446,20103965-3
C320853,ABIRAPROST®,CAJA PLEGADIZA CON UN FRASCO DE POLIETILENO BLANCO CON TAPA. CON CAPACIDAD DE 150 ML. QUE CONTIENE 60 TABLETAS. UN ROLLO DE ALGODÓN BLANCO Y UNA BOLSA DE SÍLICE GEL DE 1 GRAMO.,INVIMA 2024M-0021475,20178599-1
